	masse_B
t	x	y	θr	θv	θa
2.166667E0	-6.081010E-2	-5.570285E-1	-9.623024E1	-1.656925E2	1.745470E2
2.200000E0	-6.177808E-2	-5.570814E-1	-9.632801E1	-1.777259E2	1.624096E2
2.233333E0	-6.339369E-2	-5.571311E-1	-9.649153E1	1.774279E2	1.683063E2
2.266667E0	-6.572538E-2	-5.569041E-1	-9.673087E1	1.740215E2	1.661883E2
2.300000E0	-6.899875E-2	-5.565441E-1	-9.706730E1	1.729027E2	1.608365E2
2.333333E0	-7.266768E-2	-5.560398E-1	-9.744567E1	1.694667E2	1.602409E2
2.366667E0	-7.739975E-2	-5.549820E-1	-9.793946E1	1.681303E2	1.681828E2
2.400000E0	-8.302553E-2	-5.538627E-1	-9.852531E1	1.692948E2	1.699914E2
2.433333E0	-9.020038E-2	-5.525621E-1	-9.927120E1	1.689001E2	1.598910E2
2.466667E0	-9.839998E-2	-5.508464E-1	-1.001282E2	1.664197E2	1.544814E2
2.500000E0	-1.082374E-1	-5.482051E-1	-1.011688E2	1.646220E2	1.552378E2
2.533333E0	-1.194100E-1	-5.450680E-1	-1.023568E2	1.634946E2	1.576034E2
2.566667E0	-1.326258E-1	-5.409784E-1	-1.037749E2	1.625691E2	1.488612E2
2.600000E0	-1.481948E-1	-5.360303E-1	-1.054544E2	1.602455E2	1.366061E2
2.633333E0	-1.644145E-1	-5.295623E-1	-1.072481E2	1.572747E2	1.371940E2
2.666667E0	-1.818520E-1	-5.219337E-1	-1.092093E2	1.556819E2	1.358021E2
2.700000E0	-2.023864E-1	-5.124029E-1	-1.115528E2	1.537681E2	1.099515E2
2.733333E0	-2.218530E-1	-5.022231E-1	-1.138331E2	1.504655E2	8.329922E1
2.766667E0	-2.415277E-1	-4.902267E-1	-1.162288E2	1.480222E2	1.091460E2
2.800000E0	-2.614743E-1	-4.774863E-1	-1.187054E2	1.453706E2	8.679046E1
2.833333E0	-2.828952E-1	-4.616578E-1	-1.214992E2	1.424843E2	7.090365E1
2.866667E0	-3.015798E-1	-4.466948E-1	-1.240247E2	1.396014E2	4.296658E1
2.900000E0	-3.213156E-1	-4.289611E-1	-1.268352E2	1.372745E2	5.986298E1
2.933333E0	-3.393269E-1	-4.118316E-1	-1.294867E2	1.347625E2	2.476631E1
2.966667E0	-3.568685E-1	-3.931122E-1	-1.322333E2	1.320744E2	2.637439E1
3.000000E0	-3.730823E-1	-3.744403E-1	-1.348959E2	1.289412E2	2.391921E1
3.033333E0	-3.875172E-1	-3.551846E-1	-1.374927E2	1.261964E2	3.164155E1
