t v.txtA v.txtB
11.1 99.45843 -60.64224000000001
11.13333 96.13049 -60.93809999999999
11.16667 95.23479 -62.37185
11.2 91.00466 -61.214420000000004
11.23333 88.59542 -63.483160000000005
11.26667 88.36365 -68.05044000000001
11.3 87.18011 -71.73353
11.33333 85.39498 -73.87275
11.36667 81.71204 -75.126876
11.4 79.61873 -76.915775
11.43333 72.35265 -72.8582101
11.46667 66.38746 -69.66002900000001
11.5 65.79176 -72.527479
11.53333 69.90509 -80.37796
11.56667 69.15711 -81.3857
11.6 56.58297 -73.35815
11.63333 46.7027 -65.83344
11.66667 47.58789 -68.1336
11.7 38.94901 -59.967200000000005
11.73333 0.6004862 -19.716036199999998
11.76667 -28.95971 3.659290000000002
11.8 -45.91201 15.148310000000002
11.83333 -52.5939 10.410739999999997
11.86667 -83.37048 4.194670000000002
11.9 -105.4404 12.810789999999997
11.93333 -103.4013 19.360760000000013
11.96667 -132.2597 50.708920000000006
12.0 -175.5825 83.64616000000001
12.03333 -127.9444 33.922070000000005
12.06667 -91.43328 -34.175920000000005
12.1 -70.32658 -93.60342
12.13333 -83.31482 -78.29158000000001
12.16667 -91.00642 -67.01457999999998
12.2 -81.338 -89.22720000000001
12.23333 -81.09112 -77.17198
12.26667 -90.24953 -66.66617
12.3 -101.2892 -72.4682
12.33333 -101.4822 278.6237
12.36667 -94.51752 267.33762
12.4 -105.8724 276.1817
12.43333 -119.0615 285.8598
12.46667 -128.5438 293.6651
12.5 -130.6083 297.5384
12.53333 -118.2698 285.79420000000005
12.56667 -110.92 281.0459
12.6 -109.1158 283.9031
12.63333 -114.8985 292.3764
12.66667 -112.0163 -67.0076
12.7 -110.1514 -64.46020000000001
12.73333 -116.2648 -55.05890000000001
12.76667 -109.7792 -56.966999999999985
12.8 -96.58777 -65.02303
12.83333 -87.06736 -69.61844
12.86667 -86.45085 -64.98925
12.9 -86.56425 -59.95604999999999
12.93333 -86.47685 -54.027550000000005
12.96667 -85.33841 -49.36869
13.0 -83.98664 -46.949659999999994
13.03333 -82.26893 -45.52107000000001
13.06667 -79.3031 -45.0484
13.1 -76.58552 -43.07288
13.13333 -73.28066 -41.558840000000004
13.16667 -69.55218 -39.73241999999999
13.2 -68.35548 -35.24092
13.23333 -66.71862 -32.187479999999994
13.26667 -65.39976 -29.198579999999993
13.3 -63.74276 -27.09726
13.33333 -60.65734 -26.61898
13.36667 -59.56992 -23.576649999999994
13.4 -57.83338 -20.347860000000004
13.43333 -54.38885 -19.413779999999996
13.46667 -52.44782 -17.687509999999996
13.5 -49.84732 -16.248420000000003
13.53333 -47.5 -15.164140000000003
13.56667 -49.44806 -11.558440000000004
13.6 -47.82422 -9.882670000000005
13.63333 -45.26671 -9.027989999999996
13.66667 -45.30728 -5.545160000000003
13.7 -40.66383 -5.92991
13.73333 -36.74747 -7.505420000000001
13.76667 -35.04614 -6.293669999999999
13.8 -32.93443 -5.24136
13.83333 -30.07063 -6.604790000000001
13.86667 -28.3278 -6.249129999999997
13.9 -27.1959 -6.214189999999995
13.93333 -27.21032 -4.6752199999999995
13.96667 -25.18388 -2.4516300000000015
14.0 -20.97157 -2.9068700000000014
14.03333 -17.91977 -4.4686699999999995
14.06667 -14.4528 -6.27168
14.1 -11.82904 -6.274150000000001
14.13333 -12.44598 -4.93839
14.16667 -12.22099 -3.922550000000001
14.2 -6.301279 -6.646040999999999
14.23333 -2.059784 -7.458162999999999
14.26667 -0.7736043 -6.1599357
14.3 1.143843 -6.322141
14.33333 -0.07352362 -2.79822038
14.36667 -2.6836 1.6622190000000001
14.4 -8.899909 9.630296099999999
14.43333 -19.16779 24.307164
14.46667 -30.0004 45.83007
14.5 -54.17017 144.19392
14.53333 -111.2713 283.50649999999996
14.56667 159.8147 3.5260000000000105
14.6 115.2369 46.497699999999995
14.63333 143.5829 26.991500000000002
14.66667 154.9086 19.918000000000006
14.7 107.2921 -127.52009000000001
14.73333 43.60335 -67.53655
14.76667 27.69401 -49.589969999999994
14.8 21.46033 -46.584379999999996
14.83333 15.43054 -33.79179
14.86667 27.88216 -22.92369
14.9 48.40125 41.11448000000001
14.93333 117.9482 29.850700000000003
14.96667 149.2727 -0.5202999999999918
15.0 -178.8184 319.225
15.03333 -169.4396 322.4104
15.06667 -175.7877 350.249
15.1 -178.8114 357.0938
15.13333 179.7158 -9.74539999999999
15.16667 177.5899 -7.813600000000008
15.2 176.7036 -13.9666
15.23333 -174.866 337.7742
15.26667 179.9994 -6.9938999999999965
15.3 179.3674 -3.8558999999999912
15.33333 -179.7169 0.009100000000017872
15.36667 179.1842 -358.89340000000004
15.4 -175.4478 -2.5978000000000065
15.43333 -164.7117 23.244699999999995
15.46667 -128.82 3.8369
15.5 0.9620281 -27.6198881
15.53333 20.18059 -15.010219
15.56667 16.5789 -21.192404
15.6 14.45887 -16.843944
