t a.txtA a.txtB
11.63333 -104.5979 -71.04450000000001
11.66667 -124.7661 287.0485
11.7 -126.1102 286.3107
11.73333 -118.0861 281.0463
11.76667 -112.6252 285.5951
11.8 -74.8501 249.418
11.83333 -148.7241 320.0747
11.86667 -155.274 313.5002
11.9 179.971 -71.54780000000001
11.93333 130.806 -50.062370000000016
11.96667 130.7988 -231.7662
12.0 -112.733 15.44004000000001
12.03333 -59.39144 -105.95376
12.06667 -26.86633 177.58163000000002
12.1 26.64298 117.92732000000001
12.13333 -123.3727 155.15600999999998
12.16667 -65.2136 90.97874
12.2 69.86648 -10.416359999999997
12.23333 106.1286 -192.55502
12.26667 170.7845 0.8958999999999833
12.3 -123.183 272.51210000000003
12.33333 -96.54336 259.50796
12.36667 -110.5972 274.6384
12.4 176.5151 -14.951899999999995
12.43333 152.3672 6.583400000000012
12.46667 159.3952 8.088000000000022
12.5 -91.33412 262.08192
12.53333 -75.69513 -103.26377
12.56667 -78.68254 -88.40275999999999
12.6 -169.6726 8.924299999999988
12.63333 -100.4549 -53.6349
12.66667 178.7249 -322.8676
12.7 24.17677 -165.92967000000002
12.73333 -150.7839 29.29909999999998
12.76667 -53.55315 -46.79315
12.8 -49.90164 -42.27481
12.83333 -54.69969 -36.45277000000001
12.86667 -86.20229 8.057700000000011
12.9 -84.50339 31.073469999999993
12.93333 -79.9111 44.278800000000004
12.96667 -63.03288 43.42964
13.0 16.01097 -41.40923
13.03333 73.5706 -96.55393
13.06667 82.27524 -113.00518
13.1 27.68875 -50.64024
13.13333 -37.29779 8.136129999999998
13.16667 -54.17841 23.77471
13.2 -54.81563 10.673009999999998
13.23333 -58.44281 13.62567
13.26667 -47.60329 3.477719999999998
13.3 -34.73476 -6.660789999999999
13.33333 -26.6036 0.007629999999998915
13.36667 -38.91947 25.918619999999997
13.4 -27.94683 29.946671
13.43333 -11.98902 8.312898
13.46667 26.73223 -15.296710000000001
13.5 60.75139 -32.699439999999996
13.53333 125.4693 -73.14879
13.56667 128.9595 -80.39672999999999
13.6 108.9924 -46.535650000000004
13.63333 30.87871 45.55515
13.66667 -11.38003 98.45625000000001
13.7 -9.768902 99.384592
13.73333 -14.02705 91.50499
13.76667 0.1985923 25.9953877
13.8 84.46764 -64.54411
13.83333 102.7962 -52.65768
13.86667 93.86912 -35.32339999999999
13.9 -11.60151 97.23945
13.93333 9.668931 94.992769
13.96667 18.99762 71.68786
14.0 49.39745 40.01240000000001
14.03333 114.2342 2.7617000000000047
14.06667 131.61 -11.18980000000002
14.1 157.3368 -66.46836
14.13333 165.1958 -39.062899999999985
14.16667 145.1867 -5.850699999999989
14.2 122.6065 22.265599999999992
